threshold,acc,balanced_acc,f1,precision,recall,specificity,youden_j,tp,tn,fp,fn
0.89,0.7286821705426356,0.7338010204081633,0.6788990825688074,0.6166666666666667,0.7551020408163265,0.7125,0.4676020408163266,37.0,57.0,23.0,12.0
0.9,0.7829457364341085,0.7775510204081633,0.7254901960784315,0.6981132075471698,0.7551020408163265,0.8,0.5551020408163265,37.0,64.0,16.0,12.0
0.91,0.7984496124031008,0.7900510204081632,0.74,0.7254901960784313,0.7551020408163265,0.825,0.5801020408163264,37.0,66.0,14.0,12.0
0.92,0.8062015503875969,0.7963010204081633,0.7474747474747474,0.74,0.7551020408163265,0.8375,0.5926020408163266,37.0,67.0,13.0,12.0
0.93,0.8217054263565892,0.8048469387755102,0.7578947368421053,0.782608695652174,0.7346938775510204,0.875,0.6096938775510203,36.0,70.0,10.0,13.0
0.94,0.8372093023255814,0.8173469387755102,0.7741935483870968,0.8181818181818182,0.7346938775510204,0.9,0.6346938775510205,36.0,72.0,8.0,13.0
0.95,0.8449612403100775,0.8235969387755102,0.782608695652174,0.8372093023255814,0.7346938775510204,0.9125,0.6471938775510204,36.0,73.0,7.0,13.0
0.96,0.8449612403100775,0.8117346938775509,0.7674418604651163,0.8918918918918919,0.673469387755102,0.95,0.6234693877551019,33.0,76.0,4.0,16.0
0.97,0.8527131782945736,0.817984693877551,0.7764705882352941,0.9166666666666666,0.673469387755102,0.9625,0.635969387755102,33.0,77.0,3.0,16.0
0.98,0.8682170542635659,0.830484693877551,0.7951807228915663,0.9705882352941176,0.673469387755102,0.9875,0.660969387755102,33.0,79.0,1.0,16.0
0.99,0.8372093023255814,0.7896683673469388,0.7341772151898733,0.9666666666666667,0.5918367346938775,0.9875,0.5793367346938776,29.0,79.0,1.0,20.0
